config_id,inner_fold,selection_metric,selection_score,params,pooled_auc,macro_auc,window_years,train_start,train_end,train_target_end,train_rows,valid_start,valid_end,valid_rows,approach,dataset_type,model_name,outer_fold
0,3,pooled_auc,0.4925757062961894,"{""model__C"": 0.1}",0.4925757062961894,0.49367420177354004,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,lag_1,logistic_regression,2
1,1,pooled_auc,0.5108529062080236,"{""model__C"": 10.0}",0.5108529062080236,0.5342225206844797,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,lag_1,logistic_regression,2
1,2,pooled_auc,0.5316805752464069,"{""model__C"": 10.0}",0.5316805752464069,0.5344874847411012,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,lag_1,logistic_regression,2
1,3,pooled_auc,0.4928676845913136,"{""model__C"": 10.0}",0.4928676845913136,0.49284111351373916,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,lag_1,logistic_regression,2
0,1,pooled_auc,0.48863750346332036,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.48863750346332036,0.5077404860505345,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,lag_1,random_forest,2
0,2,pooled_auc,0.5266923048624848,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5266923048624848,0.5240830352505474,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,lag_1,random_forest,2
0,3,pooled_auc,0.5018559000421668,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5018559000421668,0.5017190270812375,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,lag_1,random_forest,2
1,1,pooled_auc,0.505324920825866,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.505324920825866,0.5196774223774887,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,lag_1,random_forest,2
1,2,pooled_auc,0.5235490790341248,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5235490790341248,0.523076716281201,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,lag_1,random_forest,2
1,3,pooled_auc,0.5025674670986928,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5025674670986928,0.5017590626845361,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,lag_1,random_forest,2
