Date,Adj Close,Close,High,Low,Open,Volume,next_adj_close,target,daily_return,sma_5,sma_20,sma_50,RSI,MACD,MACD_signal,volatility_20
2019-04-24,263.25103759765625,292.2300109863281,293.1600036621094,292.07000732421875,292.7900085449219,50392900,263.0888366699219,0,-0.0022189850456786,262.11591186523435,259.19498138427736,253.96170471191405,70.53020171827373,2.801066263240955,2.766414628988649,0.004358284211737804
2019-04-25,263.0888366699219,292.04998779296875,292.7799987792969,290.7300109863281,292.1199951171875,57770900,264.3139953613281,1,-0.0006161454451028,262.5843444824219,259.75349655151365,254.30676086425785,69.6498141158697,2.7620561807268587,2.765542939336291,0.004071022039086814
2019-04-26,264.3139953613281,293.4100036621094,293.489990234375,291.239990234375,292.1000061035156,50916400,264.72833251953125,1,0.0046568250744267,263.19512939453125,260.3255310058594,254.6603561401367,72.4474096278041,2.7977497589180302,2.7719843032526392,0.004093621686782518
2019-04-29,264.72833251953125,293.8699951171875,294.45001220703125,293.4100036621094,293.510009765625,57197700,264.8634948730469,1,0.0015675944727659,263.84373779296874,260.8385528564453,255.03318054199207,73.34234511483734,2.8268841617573344,2.7829642749535783,0.003980429501778595
2019-04-30,264.8634948730469,294.0199890136719,294.3399963378906,291.9200134277344,293.489990234375,81111700,262.87261962890625,0,0.0005105700331702,264.04913940429685,261.2074462890625,255.35507415771485,73.64309827332903,2.828277238772216,2.792026867717306,0.0032386854712388243
2019-05-01,262.87261962890625,291.8099975585937,294.95001220703125,291.79998779296875,294.7200012207031,71671900,262.3051147460937,0,-0.0075166086783491,263.97345581054685,261.4704864501953,255.62854034423827,62.46434370008808,2.6383213424418277,2.7612857626622103,0.0038048549022281094
2019-05-02,262.3051147460937,291.17999267578125,292.70001220703125,289.5199890136719,291.67999267578125,65030200,264.8724670410156,1,-0.0021588588557214,263.81671142578125,261.6848846435547,255.8806097412109,59.6831982829528,2.4141581128710072,2.69186023270397,0.00386720476907254
2019-05-03,264.8724670410156,294.0299987792969,294.3399963378906,291.29998779296875,292.82000732421875,56543700,263.7825927734375,0,0.009787656246837,263.92840576171875,261.99341735839846,256.20178375244143,66.8696986238791,2.41582290966403,2.636652768095982,0.004343764449511402
2019-05-06,263.7825927734375,292.82000732421875,293.3099975585937,288.8999938964844,289.25,107198100,259.3773803710937,0,-0.0041147133175203,263.7392578125,262.1848541259766,256.4703088378906,61.83105492297396,2.3026549552117785,2.569853205519141,0.004408584616804114
2019-05-07,259.3773803710937,287.92999267578125,290.8099975585937,285.8099975585937,290.1499938964844,144729900,259.0170593261719,0,-0.016700163403608,262.6420349121093,262.1461166381836,256.6439132690429,46.55991120426695,1.836336566149498,2.423149877645213,0.005885784306925885
2019-05-08,259.0170593261719,287.5299987792969,289.42999267578125,286.8699951171875,287.5299987792969,91568300,258.2332763671875,0,-0.0013891768218428,261.87092285156245,262.15601959228513,256.8138995361328,45.56853736233467,1.421316929355953,2.222783287987361,0.005777314096036869
2019-05-09,258.2332763671875,286.6600036621094,287.3299865722656,283.29998779296875,285.2300109863281,103471100,259.5306091308594,1,-0.0030259897206128,261.0565551757812,262.0825958251953,256.97036254882806,43.40361613877922,1.017437753608931,1.9817141811116752,0.005759747941816491
2019-05-10,259.5306091308594,288.1000061035156,288.94000244140625,282.29998779296875,285.6199951171875,112429300,253.00851440429688,0,0.0050238791139649,259.98818359375,262.07764739990233,257.1621005249023,47.82238688319955,0.7929044004407046,1.7439522249774813,0.0058800029500457795
2019-05-13,253.00851440429688,280.8599853515625,283.489990234375,279.92999267578125,282.4200134277344,127290500,255.2965545654297,1,-0.0251303487800699,257.8333679199219,261.6587600708008,257.19218322753903,33.61380206208949,0.0876709472589709,1.4126959694337793,0.007919443133676653
2019-05-14,255.2965545654297,283.3999938964844,285.1000061035156,281.8500061035156,281.989990234375,77003200,256.79205322265625,1,0.0090433326582701,257.01720275878904,261.362833404541,257.28632415771483,40.31352344272553,-0.2833397618643971,1.073488823174144,0.008269373793380578
2019-05-15,256.79205322265625,285.0599975585937,285.7699890136719,281.3599853515625,281.5899963378906,73956400,259.1701965332031,1,0.0058578881323809,256.57220153808595,261.13312301635744,257.4171908569336,44.272267170746986,-0.4514896865342734,0.7684931212324606,0.008408567684438024
2019-05-16,259.1701965332031,287.70001220703125,289.2099914550781,285.760009765625,285.8399963378906,76749600,257.49462890625,0,0.0092609692578176,256.75958557128905,261.0542991638184,257.6259353637695,49.95642879989374,-0.3883764610150706,0.5371192047829544,0.008694401198599417
2019-05-17,257.49462890625,285.8399963378906,288.6000061035156,285.1199951171875,285.1400146484375,100353000,255.7919769287109,0,-0.0064651246530904,256.3523895263672,260.8660270690918,257.84278533935543,46.36786428613635,-0.468166349028877,0.3360620940205881,0.008784317915855733
2019-05-20,255.7919769287109,283.95001220703125,285.9599914550781,283.1199951171875,284.0599975585937,62877600,258.09820556640625,1,-0.0066123786145418,256.90908203125,260.5813613891602,258.0354464721679,42.98853416200661,-0.6611686543815267,0.1366159443401651,0.00887341572375455
2019-05-21,258.09820556640625,286.510009765625,286.92999267578125,285.54998779296875,285.8299865722656,46847100,257.3055114746094,0,0.0090160319545053,257.4694122314453,260.29444732666013,258.20284179687496,48.467013133943205,-0.6208739464013888,-0.0148820338081456,0.008874868528881112
2019-05-22,257.3055114746094,285.6300048828125,286.69000244140625,285.1000061035156,285.45001220703125,49482500,254.1615295410156,0,-0.0030712886595134,257.5721038818359,259.99717102050784,258.33554840087885,46.80224993420132,-0.645463388253745,-0.1409983046972655,0.0088827634019436
2019-05-23,254.1615295410156,282.1400146484375,283.2099914550781,280.57000732421875,283.1600036621094,98733800,254.738021850586,1,-0.0122188674295227,256.57037048339845,259.5508056640625,258.3721884155273,40.81430593468271,-0.90817488995458,-0.2944336217487284,0.009221661936493313
2019-05-24,254.738021850586,282.7799987792969,284.20001220703125,282.0899963378906,283.739990234375,55268100,252.368896484375,0,0.0022682123081785,256.0190490722656,259.0720069885254,258.4235897827148,42.27275081855977,-1.0576654276752038,-0.4470799829340235,0.009150412322689943
2019-05-28,252.368896484375,280.1499938964844,284.1499938964844,280.1300048828125,283.0899963378906,70029400,250.67530822753903,0,-0.0093002424569371,255.33443298339844,258.4540351867676,258.40269287109373,38.115949844324575,-1.3517245342746378,-0.6280088932021464,0.009261706917757398
2019-05-29,250.67530822753903,278.2699890136719,279.3599853515625,276.7099914550781,278.9100036621094,104972900,251.3599548339844,1,-0.0067107646006638,253.849853515625,257.7446258544922,258.3295440673828,35.433582463707864,-1.701809512534339,-0.8427690170685851,0.009285183124513917
2019-05-30,251.3599548339844,279.0299987792969,280.0400085449219,277.8099975585937,279.1099853515625,62523800,247.9727935791016,0,0.0027312087947006,252.6607421875,257.1689926147461,258.2688287353515,37.35293843127306,-1.9020830908556832,-1.0546318318260048,0.009288605768081331
2019-05-31,247.9727935791016,275.2699890136719,277.1199951171875,275.239990234375,276.20001220703125,86862800,247.3422088623047,0,-0.0134753415957602,251.4229949951172,256.4523765563965,258.15568359375,32.245815636712194,-2.30751732678641,-1.305208930818086,0.00962485137857963
2019-06-03,247.3422088623047,274.57000732421875,276.54998779296875,273.0899963378906,275.3099975585937,96428000,252.7112274169922,1,-0.0025429592807154,249.9438323974609,255.5758636474609,257.97263336181635,31.38547105004254,-2.6491717930089465,-1.5740015032562582,0.009162531375078149
2019-06-04,252.7112274169922,280.5299987792969,280.67999267578125,276.6199951171875,277.1199951171875,77231900,254.90020751953125,1,0.0217068432411244,250.0122985839844,255.02229537963868,257.9956942749023,44.87218111978831,-2.458362025225256,-1.7508736076500575,0.01073716092126194
2019-06-05,254.90020751953125,282.9599914550781,282.989990234375,280.32000732421875,282.3299865722656,71169700,256.5577392578125,1,0.0086619819978439,250.8572784423828,254.7984367370605,258.0663189697265,49.25185431771166,-2.106232175901852,-1.8219453213004169,0.010413214051984305
2019-06-06,256.5577392578125,284.79998779296875,285.54998779296875,282.57000732421875,283.2900085449219,69430400,259.12518310546875,1,0.0065026692383303,251.89683532714844,254.67547073364256,258.13261871337886,52.33954509904161,-1.6741195663878443,-1.792380170317902,0.010539217441379518
2019-06-07,259.12518310546875,287.6499938964844,288.8500061035156,285.739990234375,285.92999267578125,74272200,260.314208984375,1,0.0100072749903532,254.12731323242187,254.72006607055664,258.2767517089844,56.73105360029098,-1.1116811800166602,-1.6562403722576535,0.01077026903345756
2019-06-10,260.314208984375,288.9700012207031,290.82000732421875,288.8699951171875,289.3699951171875,60799100,260.25115966796875,0,0.0045886156824144,256.7217132568359,254.7592460632324,258.42556976318355,58.632105603667576,-0.5635045259382707,-1.4376932029937772,0.010760502679031735
2019-06-11,260.25115966796875,288.8999938964844,291.3999938964844,288.17999267578125,290.989990234375,58641300,259.7917175292969,0,-0.0002422046673988,258.2296997070313,255.121378326416,258.5412350463867,58.4853689302226,-0.1326292634996662,-1.176680415094955,0.00896568007870507
2019-06-12,259.7917175292969,288.3900146484375,289.260009765625,287.82000732421875,288.6400146484375,47096300,260.86383056640625,1,-0.0017653797941112,259.2080017089844,255.34613647460927,258.58735687255853,57.358849374633685,0.1698118599812232,-0.9073819600797194,0.008808279147368217
2019-06-13,260.86383056640625,289.5799865722656,289.9800109863281,288.6199951171875,289.3999938964844,48945200,260.575439453125,0,0.0041268176187658,260.0692199707031,255.5497253417969,258.65239715576166,59.32757850137455,0.4903566649851427,-0.6278342350667471,0.008765500085311921
2019-06-14,260.575439453125,289.260009765625,289.92999267578125,288.4100036621094,289.260009765625,52324700,260.6746520996094,1,-0.0011055235701135,260.3592712402344,255.61998748779297,258.7035629272461,58.54456435227157,0.7129020881882298,-0.3596869704157517,0.00854400007505583
2019-06-17,260.6746520996094,289.3699951171875,290.2200012207031,289.17999267578125,289.5199890136719,39205700,263.404052734375,1,0.000380744427382,260.4313598632813,255.7789886474609,258.74301971435546,58.74628293920344,0.8870511968196979,-0.1103393369686618,0.008394318093293975
2019-06-18,263.404052734375,292.3999938964844,293.57000732421875,290.989990234375,291.3900146484375,85434800,263.99871826171875,1,0.0104705256640091,261.0619384765625,256.1595924377441,258.81202362060543,63.94414938514938,1.231113925765044,0.1579513155780793,0.008485372667983264
2019-06-19,263.99871826171875,293.0599975585937,293.6499938964844,291.4700012207031,292.54998779296875,78674400,266.5210876464844,1,0.0022576172278694,261.90333862304686,256.4546180725098,258.88895538330075,64.97947009754594,1.5340866594474392,0.4331783843519513,0.00830297359141508
2019-06-20,266.5210876464844,295.8599853515625,296.3099975585937,293.1300048828125,296.0400085449219,116570000,266.1335754394531,0,0.0095544758753904,263.0347900390625,256.9153968811035,259.04299713134765,69.04031412464481,1.9551906420637124,0.7375808358943036,0.008442850167998716
2019-06-21,266.1335754394531,294.0,295.5199890136719,293.760009765625,294.1300048828125,83309500,265.8077392578125,0,-0.001453964526609,264.14641723632815,257.5139991760254,259.17163360595697,67.74072866290186,2.231921385238536,1.03644894576315,0.007822808819222543
2019-06-24,265.8077392578125,293.6400146484375,294.5799865722656,293.4700012207031,294.2300109863281,47582700,263.2007141113281,0,-0.0012243332360548,265.17303466796875,258.0674850463867,259.29519683837884,66.60542948842118,2.397305589643622,1.3086202745392446,0.007863209332264321
2019-06-25,263.2007141113281,290.760009765625,293.7300109863281,290.6400146484375,293.70001220703125,82028700,262.9382019042969,0,-0.0098079354414725,265.1323669433594,258.60907592773435,259.3314859008789,58.20077572236614,2.2915925689919163,1.5052147334297792,0.00790286747256369
2019-06-26,262.9382019042969,290.4700012207031,292.3099975585937,290.3500061035156,291.75,51584900,263.8704528808594,1,-0.0009973840987385,264.920263671875,259.22222061157225,259.3659481811523,57.41513220802528,2.161712817561579,1.6365143502561392,0.00766607618588001
2019-06-27,263.8704528808594,291.5,292.0599975585937,290.8900146484375,291.3099975585937,40355200,265.2284851074219,1,0.0035455136218731,264.39013671875,259.84774551391604,259.41563201904296,59.505674478324345,2.1096878729181867,1.7311490547885489,0.0076699848031024686
2019-06-28,265.2284851074219,293.0,293.54998779296875,292.010009765625,292.5799865722656,59350900,267.6361999511719,1,0.005146586939674,264.20911865234376,260.71053009033204,259.5052682495117,62.40127521165248,2.153218616721972,1.8155629671752336,0.006703144368717069
2019-07-01,267.6361999511719,295.6600036621094,296.9200134277344,294.3299865722656,296.67999267578125,78705600,268.3332214355469,1,0.0090778893631082,264.57481079101564,261.72522964477537,259.6327908325195,66.91792948511865,2.354854217018726,1.923421217143932,0.0066653030006669145
2019-07-02,268.3332214355469,296.42999267578125,296.489990234375,294.67999267578125,295.6099853515625,61504500,270.4786071777344,1,0.0026043617586193,265.6013122558594,262.50632934570314,259.76974945068355,68.11217714735628,2.541597734899142,2.0470565206949742,0.005197074234797461
