dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end
hybrid,logistic_regression,2,"{""model__C"": 10.0}",0.509926039509811,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5084054977821199,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.50971962410551,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5118221557405144,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.516256422023587,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,logistic_regression,2,"{""model__C"": 10.0}",0.5082623965042157,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5068783483877226,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5073234629322995,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5080221006091624,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5096892858150112,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_2,logistic_regression,2,"{""model__C"": 10.0}",0.5101846586975692,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_2,random_forest,2,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5078872542704569,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_2,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5130456778546695,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_2,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5119040586248581,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_2,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5114072429297942,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_3,logistic_regression,2,"{""model__C"": 10.0}",0.5087287867384166,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_3,random_forest,2,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5066759855215511,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_3,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5064586064945852,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_3,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5061879989510857,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_3,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5078760509837461,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_3,logistic_regression,2,"{""model__C"": 10.0}",0.5088902544648525,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_3,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5106957648846142,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_3,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5061765202180282,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_3,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5103690647524639,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_3,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5135345087016104,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_5,logistic_regression,2,"{""model__C"": 10.0}",0.5087705123892355,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_5,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5036551890001006,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_5,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5120866604665215,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_5,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5083902512625763,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
rolling_5,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5112621864244441,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
weighted_sentiment,logistic_regression,2,"{""model__C"": 10.0}",0.5089641392086407,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
weighted_sentiment,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5096759630202529,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
weighted_sentiment,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5101128530288788,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
weighted_sentiment,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5120015676990078,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
weighted_sentiment,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5173595153376243,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
relative_features,logistic_regression,2,"{""model__C"": 0.1}",0.5126035122951457,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
relative_features,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5109757207618207,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
relative_features,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5075647014485205,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
relative_features,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5078212946917678,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
relative_features,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5100996710021634,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,dummy,3,{},0.5,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,logistic_regression,3,"{""model__C"": 10.0}",0.50594361876173,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5074298480711047,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5100524173894132,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
