ticker,month,sessions,news,recorded_days,sources,mean_relevance,news_per_session,recorded_day_ratio,approach
NVDA,2015-09,21,9.0,7.0,3.0,0.8480292222222222,0.42857142857142855,0.3333333333333333,deduplicated
NVDA,2015-10,22,5.0,4.0,5.0,0.8643616,0.22727272727272727,0.18181818181818182,deduplicated
NVDA,2015-11,20,1.0,1.0,1.0,0.598091,0.05,0.05,deduplicated
NVDA,2015-12,22,1.0,1.0,1.0,0.323207,0.045454545454545456,0.045454545454545456,deduplicated
NVDA,2016-01,19,6.0,5.0,4.0,0.8643493333333333,0.3157894736842105,0.2631578947368421,deduplicated
NVDA,2016-02,20,3.0,3.0,3.0,0.9662896666666666,0.15,0.15,deduplicated
NVDA,2016-03,22,2.0,2.0,2.0,0.92448,0.09090909090909091,0.09090909090909091,deduplicated
NVDA,2016-04,21,3.0,2.0,3.0,0.8275543333333334,0.14285714285714285,0.09523809523809523,deduplicated
NVDA,2016-05,21,6.0,5.0,5.0,0.9062225,0.2857142857142857,0.23809523809523808,deduplicated
NVDA,2016-06,22,2.0,2.0,2.0,0.6559505,0.09090909090909091,0.09090909090909091,deduplicated
NVDA,2016-07,20,4.0,4.0,4.0,0.88490775,0.2,0.2,deduplicated
NVDA,2016-08,23,12.0,8.0,8.0,0.7540119166666667,0.5217391304347826,0.34782608695652173,deduplicated
NVDA,2016-09,21,3.0,3.0,3.0,0.761993,0.14285714285714285,0.14285714285714285,deduplicated
NVDA,2016-10,21,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,deduplicated
NVDA,2016-11,21,4.0,4.0,4.0,0.80071875,0.19047619047619047,0.19047619047619047,deduplicated
NVDA,2016-12,21,3.0,3.0,3.0,0.5025116666666667,0.14285714285714285,0.14285714285714285,deduplicated
NVDA,2017-01,20,25.0,12.0,10.0,0.66872148,1.25,0.6,deduplicated
NVDA,2017-02,19,11.0,7.0,6.0,0.7860373636363637,0.5789473684210527,0.3684210526315789,deduplicated
NVDA,2017-03,23,6.0,5.0,6.0,0.7795183333333333,0.2608695652173913,0.21739130434782608,deduplicated
NVDA,2017-04,19,2.0,2.0,2.0,0.735707,0.10526315789473684,0.10526315789473684,deduplicated
NVDA,2017-05,22,13.0,8.0,9.0,0.8850403846153847,0.5909090909090909,0.36363636363636365,deduplicated
NVDA,2017-06,22,6.0,5.0,6.0,0.7940904999999999,0.2727272727272727,0.22727272727272727,deduplicated
NVDA,2017-07,20,4.0,4.0,3.0,0.6315682499999999,0.2,0.2,deduplicated
NVDA,2017-08,23,10.0,8.0,10.0,0.7648229000000001,0.43478260869565216,0.34782608695652173,deduplicated
NVDA,2017-09,20,6.0,5.0,6.0,0.7721345,0.3,0.25,deduplicated
NVDA,2017-10,22,12.0,8.0,9.0,0.7578854166666668,0.5454545454545454,0.36363636363636365,deduplicated
NVDA,2017-11,21,12.0,9.0,10.0,0.8793199166666666,0.5714285714285714,0.42857142857142855,deduplicated
NVDA,2017-12,20,35.0,7.0,4.0,0.6865195999999999,1.75,0.35,deduplicated
NVDA,2018-01,21,5.0,5.0,5.0,0.7605416,0.23809523809523808,0.23809523809523808,deduplicated
NVDA,2018-02,19,7.0,6.0,7.0,0.6355191428571428,0.3684210526315789,0.3157894736842105,deduplicated
NVDA,2018-03,21,6.0,5.0,6.0,0.773742,0.2857142857142857,0.23809523809523808,deduplicated
NVDA,2018-04,21,17.0,8.0,8.0,0.7365765294117647,0.8095238095238095,0.38095238095238093,deduplicated
NVDA,2018-05,22,8.0,7.0,8.0,0.7563575,0.36363636363636365,0.3181818181818182,deduplicated
NVDA,2018-06,21,10.0,7.0,8.0,0.6725384,0.47619047619047616,0.3333333333333333,deduplicated
NVDA,2018-07,21,5.0,5.0,4.0,0.6278444000000001,0.23809523809523808,0.23809523809523808,deduplicated
NVDA,2018-08,23,6.0,5.0,5.0,0.7616301666666666,0.2608695652173913,0.21739130434782608,deduplicated
NVDA,2018-09,19,4.0,4.0,4.0,0.80115475,0.21052631578947367,0.21052631578947367,deduplicated
NVDA,2018-10,23,30.0,8.0,9.0,0.711083,1.3043478260869565,0.34782608695652173,deduplicated
NVDA,2018-11,21,8.0,8.0,8.0,0.812021,0.38095238095238093,0.38095238095238093,deduplicated
NVDA,2018-12,19,3.0,3.0,3.0,0.6451943333333333,0.15789473684210525,0.15789473684210525,deduplicated
NVDA,2019-01,21,10.0,8.0,8.0,0.6666272999999999,0.47619047619047616,0.38095238095238093,deduplicated
NVDA,2019-02,19,6.0,5.0,6.0,0.7349899999999999,0.3157894736842105,0.2631578947368421,deduplicated
NVDA,2019-03,21,16.0,8.0,14.0,0.9329885,0.7619047619047619,0.38095238095238093,deduplicated
NVDA,2019-04,21,9.0,9.0,9.0,0.7540695555555555,0.42857142857142855,0.42857142857142855,deduplicated
NVDA,2019-05,22,8.0,6.0,7.0,0.746794,0.36363636363636365,0.2727272727272727,deduplicated
NVDA,2019-06,20,6.0,6.0,5.0,0.729763,0.3,0.3,deduplicated
NVDA,2019-07,22,3.0,3.0,3.0,0.8499866666666667,0.13636363636363635,0.13636363636363635,deduplicated
NVDA,2019-08,22,6.0,6.0,6.0,0.8282608333333333,0.2727272727272727,0.2727272727272727,deduplicated
NVDA,2019-09,20,9.0,7.0,9.0,0.7458588888888888,0.45,0.35,deduplicated
NVDA,2019-10,23,6.0,6.0,4.0,0.8822078333333333,0.2608695652173913,0.2608695652173913,deduplicated
NVDA,2019-11,20,7.0,5.0,7.0,0.734499857142857,0.35,0.25,deduplicated
NVDA,2019-12,21,10.0,8.0,10.0,0.7230905,0.47619047619047616,0.38095238095238093,deduplicated
NVDA,2020-01,21,9.0,6.0,8.0,0.7442036666666667,0.42857142857142855,0.2857142857142857,deduplicated
NVDA,2020-02,19,11.0,7.0,10.0,0.6822538181818182,0.5789473684210527,0.3684210526315789,deduplicated
NVDA,2020-03,22,12.0,11.0,12.0,0.75261575,0.5454545454545454,0.5,deduplicated
NVDA,2020-04,21,7.0,5.0,6.0,0.7745634285714286,0.3333333333333333,0.23809523809523808,deduplicated
NVDA,2020-05,20,15.0,10.0,13.0,0.8480937333333334,0.75,0.5,deduplicated
NVDA,2020-06,22,8.0,6.0,7.0,0.8224855,0.36363636363636365,0.2727272727272727,deduplicated
NVDA,2020-07,22,19.0,11.0,16.0,0.79818,0.8636363636363636,0.5,deduplicated
NVDA,2020-08,21,24.0,12.0,19.0,0.8346054583333333,1.1428571428571428,0.5714285714285714,deduplicated
NVDA,2020-09,21,43.0,14.0,33.0,0.9034823488372093,2.0476190476190474,0.6666666666666666,deduplicated
NVDA,2020-10,22,36.0,15.0,27.0,0.8413411666666666,1.6363636363636365,0.6818181818181818,deduplicated
NVDA,2020-11,20,37.0,12.0,26.0,0.798980972972973,1.85,0.6,deduplicated
NVDA,2020-12,22,24.0,17.0,20.0,0.8198800416666666,1.0909090909090908,0.7727272727272727,deduplicated
NVDA,2021-01,19,28.0,13.0,23.0,0.740666,1.4736842105263157,0.6842105263157895,deduplicated
NVDA,2021-02,19,25.0,12.0,23.0,0.74075676,1.3157894736842106,0.631578947368421,deduplicated
NVDA,2021-03,23,39.0,20.0,29.0,0.7762616923076923,1.6956521739130435,0.8695652173913043,deduplicated
NVDA,2021-04,21,38.0,12.0,20.0,0.7914838157894737,1.8095238095238095,0.5714285714285714,deduplicated
NVDA,2021-05,20,27.0,13.0,22.0,0.7720431851851851,1.35,0.65,deduplicated
NVDA,2021-06,22,54.0,18.0,32.0,0.7918936851851852,2.4545454545454546,0.8181818181818182,deduplicated
NVDA,2021-07,21,35.0,18.0,25.0,0.7463754,1.6666666666666667,0.8571428571428571,deduplicated
NVDA,2021-08,22,41.0,20.0,28.0,0.8138791707317072,1.8636363636363635,0.9090909090909091,deduplicated
NVDA,2021-09,21,27.0,14.0,21.0,0.7583327037037036,1.2857142857142858,0.6666666666666666,deduplicated
NVDA,2021-10,21,30.0,18.0,25.0,0.7533591000000001,1.4285714285714286,0.8571428571428571,deduplicated
NVDA,2021-11,21,54.0,16.0,38.0,0.7767426481481481,2.5714285714285716,0.7619047619047619,deduplicated
