dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
hybrid,xgboost,outer_fold,0.4486486486486487,0.48623853211009177,0.5353535353535354,0.5096153846153846,0.4420953723279305,0.43999287749287747,-0.1174059337501072,0.4354005167958656,30,56,46,53,1,,
hybrid,xgboost,outer_fold,0.45652173913043476,0.5040650406504065,0.6138613861386139,0.5535714285714286,0.4394608135512347,0.4295634920634921,-0.1279819832772634,0.4654658236908028,22,61,39,62,2,,
hybrid,xgboost,outer_fold,0.44021739130434784,0.4883720930232558,0.4158415841584158,0.44919786096256686,0.4428605511153525,0.44006854374095195,-0.11397340220394064,0.4568770130025051,39,44,59,42,3,,
lag_1,hist_gradient_boosting,global,0.47377938517179025,0.5219298245614035,0.3953488372093023,0.4499054820415879,0.4814045773348099,0.4727863632045028,-0.037627941831002154,0.47021172810209355,143,109,182,119,,0.4663767301358883,0.011092210509250569
lag_1,hist_gradient_boosting,ticker,0.47377938517179025,0.5219298245614035,0.3953488372093023,0.4499054820415879,0.4814045773348099,0.4727863632045028,-0.037627941831002154,0.47021172810209355,143,109,182,119,AAPL,,
lag_1,hist_gradient_boosting,year,0.4716981132075472,0.5,0.4642857142857143,0.48148148148148145,0.47214285714285714,0.47150997150997154,-0.05563486402641868,0.5214285714285715,12,13,15,13,2023,,
lag_1,hist_gradient_boosting,year,0.4166666666666667,0.47706422018348627,0.36619718309859156,0.41434262948207173,0.4240076824583867,0.41665748074894104,-0.15214543706974765,0.4122279129321383,53,57,90,52,2024,,
lag_1,hist_gradient_boosting,year,0.532258064516129,0.5806451612903226,0.4122137404580153,0.48214285714285715,0.5394402035623409,0.5278361344537815,0.0813374211628629,0.5098518953480785,78,39,77,54,2025,,
lag_1,hist_gradient_boosting,outer_fold,0.44324324324324327,0.47959183673469385,0.47474747474747475,0.47715736040609136,0.44086210946676063,0.4408908189313694,-0.11819251757071983,0.4548978153629316,35,51,52,47,1,,
lag_1,hist_gradient_boosting,outer_fold,0.4782608695652174,0.5373134328358209,0.3564356435643564,0.42857142857142855,0.491470833830371,0.4742857142857143,-0.0176403002221267,0.47703686031253734,52,31,65,36,2,,
lag_1,hist_gradient_boosting,outer_fold,0.5,0.5714285714285714,0.3564356435643564,0.43902439024390244,0.5155672193725396,0.49402199904351984,0.03264959619609053,0.46719551473219606,56,27,65,36,3,,
lag_1,lightgbm,global,0.4376130198915009,0.475,0.31561461794019935,0.37924151696606784,0.4494739756367664,0.4325959650946042,-0.10474330916236554,0.4667642250698729,147,105,206,95,,0.4657047240168119,0.007288853607621836
lag_1,lightgbm,ticker,0.4376130198915009,0.475,0.31561461794019935,0.37924151696606784,0.4494739756367664,0.4325959650946042,-0.10474330916236554,0.4667642250698729,147,105,206,95,AAPL,,
lag_1,lightgbm,year,0.4716981132075472,0.5,0.4642857142857143,0.48148148148148145,0.47214285714285714,0.47150997150997154,-0.05563486402641868,0.49714285714285716,12,13,15,13,2023,,
