dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end,approach
hybrid,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.507607900939772,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
lag_1,logistic_regression,1,"{""model__C"": 0.1}",0.5089290754470233,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
lag_1,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5065267274230064,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
lag_1,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5044293427030878,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
lag_1,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5028348129327048,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
lag_1,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5067998433888056,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
base,dummy,2,{},0.5,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
base,logistic_regression,2,"{""model__C"": 0.1}",0.504536507675978,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
base,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5041514663479464,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
base,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5027692827120657,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
base,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5034443036490001,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
base,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5118592174999833,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
hybrid,logistic_regression,2,"{""model__C"": 0.1}",0.5123920474007805,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
hybrid,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.514597694957482,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
hybrid,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5116009113285797,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
