scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
outer_fold,0.4673913043478261,0.4666666666666667,0.7954545454545454,0.5882352941176471,0.481060606060606,0.4171945701357466,-0.04875149494180871,0.5369318181818182,16,80,18,70,2.0,add_news_abs_sentiment,lag_1,random_forest,TSLA
outer_fold,0.5108695652173914,0.55,0.55,0.55,0.5071428571428571,0.5071428571428571,0.014285714285714285,0.5211904761904762,39,45,45,55,3.0,add_news_abs_sentiment,lag_1,random_forest,TSLA
global,0.5497287522603979,0.5599078341013825,0.8073089700996677,0.6612244897959184,0.5246862310815799,0.4950327300731614,0.05983426470248626,0.5123068607287877,61,191,58,243,,add_news_log_surprise_20,hybrid,hist_gradient_boosting,AAPL
outer_fold,0.5567567567567567,0.5570469798657718,0.8383838383838383,0.6693548387096774,0.5354709889593611,0.4986118455843469,0.08937699134258173,0.4654686398872446,20,66,16,83,1.0,add_news_log_surprise_20,hybrid,hist_gradient_boosting,AAPL
outer_fold,0.5054347826086957,0.5347222222222222,0.7623762376237624,0.6285714285714286,0.47757366098055587,0.44436701509872245,-0.054109917295822575,0.45950137182392936,16,67,24,77,2.0,add_news_log_surprise_20,hybrid,hist_gradient_boosting,AAPL
outer_fold,0.5869565217391305,0.5886524822695035,0.8217821782178217,0.6859504132231405,0.5614934987474651,0.5413879050242687,0.1446156014347678,0.599009900990099,25,58,18,83,3.0,add_news_log_surprise_20,hybrid,hist_gradient_boosting,AAPL
global,0.5334538878842676,0.5583756345177665,0.7236842105263158,0.6303724928366762,0.5124445149017122,0.4990097758301028,0.027358845067655787,0.5136995349820335,75,174,84,220,,add_news_log_surprise_20,hybrid,hist_gradient_boosting,MSFT
outer_fold,0.5513513513513514,0.5846153846153846,0.7238095238095238,0.6468085106382979,0.5244047619047619,0.5159968479117416,0.05290432684448219,0.48178571428571426,26,54,29,76,1.0,add_news_log_surprise_20,hybrid,hist_gradient_boosting,MSFT
outer_fold,0.532608695652174,0.5319148936170213,0.7894736842105263,0.635593220338983,0.5239503252513306,0.49203903441191577,0.056565865055614444,0.5594322885866351,23,66,20,75,2.0,add_news_log_surprise_20,hybrid,hist_gradient_boosting,MSFT
outer_fold,0.5163043478260869,0.5609756097560976,0.6634615384615384,0.6079295154185022,0.49423076923076925,0.48836192082981844,-0.01215044255945237,0.5088942307692308,26,54,35,69,3.0,add_news_log_surprise_20,hybrid,hist_gradient_boosting,MSFT
global,0.5316455696202531,0.56797583081571,0.618421052631579,0.5921259842519685,0.5220619319382794,0.5211160706822475,0.044783653132229706,0.5305234094271825,106,143,116,188,,add_news_log_surprise_20,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.5405405405405406,0.6132075471698113,0.5963302752293578,0.6046511627906976,0.5284282955094157,0.5281320330082521,0.056550231057503106,0.5522694350555287,35,41,44,65,1.0,add_news_log_surprise_20,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.532608695652174,0.5350877192982456,0.648936170212766,0.5865384615384616,0.5300236406619385,0.5245192307692308,0.06182684498636992,0.5206855791962175,37,53,33,61,2.0,add_news_log_surprise_20,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.5217391304347826,0.5585585585585585,0.6138613861386139,0.5849056603773585,0.5117499701777406,0.5104015481373971,0.023902513581245885,0.5158654419658834,34,49,39,62,3.0,add_news_log_surprise_20,hybrid,hist_gradient_boosting,NVDA
