scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
global,0.5207956600361664,0.5611285266457681,0.5888157894736842,0.5746388443017657,0.5132833967448742,0.5129922999976737,0.026752990480257362,0.5055749313041641,109,140,125,179,,add_news_log_surprise_20,hybrid,logistic_regression,MSFT
global,0.49547920433996384,0.5454545454545454,0.4934210526315789,0.5181347150259067,0.49570651025153245,0.49436147516001216,-0.008544529360259108,0.5105157471993236,124,125,154,150,,add_news_log_surprise_20,hybrid,logistic_regression,NVDA
global,0.5135623869801085,0.518324607329843,0.6996466431095406,0.5954887218045113,0.5090825808140296,0.4927556987707364,0.01964647453365865,0.5117000392618767,86,184,85,198,,add_news_log_surprise_20,hybrid,logistic_regression,TSLA
global,0.5009041591320073,0.5294117647058824,0.7475083056478405,0.6198347107438017,0.47692875599852347,0.4467594606350588,-0.054486018850618906,0.4750171386384011,52,200,76,225,,add_news_log_surprise_20,hybrid,random_forest,AAPL
global,0.5244122965641953,0.555256064690027,0.6776315789473685,0.6103703703703703,0.5074904882688649,0.500080776832517,0.015861853718631847,0.5175042274360601,84,165,98,206,,add_news_log_surprise_20,hybrid,random_forest,MSFT
global,0.5641952983725136,0.6053511705685619,0.5953947368421053,0.6003316749585407,0.560749577256394,0.5606032132247971,0.1212990134462156,0.5697791164658634,131,118,123,181,,add_news_log_surprise_20,hybrid,random_forest,NVDA
global,0.5027124773960217,0.5099009900990099,0.7279151943462897,0.5997088791848617,0.4972909305064782,0.4716921484229798,-0.006104378084625318,0.5068970030100772,72,198,77,206,,add_news_log_surprise_20,hybrid,random_forest,TSLA
global,0.515370705244123,0.5384615384615384,0.7674418604651163,0.6328767123287671,0.4908637873754153,0.4600553774409793,-0.02181927034988083,0.4874690186151981,54,198,70,231,,add_news_log_surprise_20,lag_1,hist_gradient_boosting,AAPL
global,0.5406871609403255,0.5612745098039216,0.7532894736842105,0.6432584269662921,0.5172069858380892,0.4992941881024354,0.038927559718269236,0.510469509617417,70,179,75,229,,add_news_log_surprise_20,lag_1,hist_gradient_boosting,MSFT
global,0.538878842676311,0.5686274509803921,0.6677631578947368,0.6142208774583964,0.5246446311562037,0.5205935847966139,0.05126567027583715,0.5403323821602198,95,154,101,203,,add_news_log_surprise_20,lag_1,hist_gradient_boosting,NVDA
global,0.5009041591320073,0.5084745762711864,0.7420494699646644,0.603448275862069,0.49509880905640624,0.465138772077376,-0.011268540610809622,0.5166012302054706,67,203,73,210,,add_news_log_surprise_20,lag_1,hist_gradient_boosting,TSLA
global,0.5045207956600362,0.531615925058548,0.7541528239202658,0.6236263736263736,0.4802510151347361,0.4493793243793244,-0.04689851385385218,0.4682276011179666,52,200,74,227,,add_news_log_surprise_20,lag_1,logistic_regression,AAPL
global,0.515370705244123,0.5580645161290323,0.569078947368421,0.5635179153094463,0.5094390720777848,0.5094012340774874,0.018923949469160425,0.5003302684421899,112,137,131,173,,add_news_log_surprise_20,lag_1,logistic_regression,MSFT
global,0.4918625678119349,0.5433962264150943,0.47368421052631576,0.5061511423550088,0.493870217712957,0.4914368374717316,-0.012209343994459639,0.5092210949059395,128,121,160,144,,add_news_log_surprise_20,lag_1,logistic_regression,NVDA
global,0.5207956600361664,0.5235602094240838,0.7067137809187279,0.6015037593984962,0.516319853422327,0.5002983649600191,0.03530137427013305,0.5098023818871875,88,182,83,200,,add_news_log_surprise_20,lag_1,logistic_regression,TSLA
global,0.5009041591320073,0.5277161862527716,0.7906976744186046,0.6329787234042553,0.4727297895902547,0.42665885322755137,-0.07003476018858859,0.4575357274692823,39,213,63,238,,add_news_log_surprise_20,lag_1,random_forest,AAPL
global,0.5316455696202531,0.5555555555555556,0.7401315789473685,0.6346967559943583,0.5086200063411541,0.49115190444554185,0.019373838583555524,0.5116254491650813,69,180,79,225,,add_news_log_surprise_20,lag_1,random_forest,MSFT
global,0.546112115732369,0.581039755351682,0.625,0.6022187004754358,0.5373995983935743,0.5368988239219284,0.07570164272223272,0.5579555062354682,112,137,114,190,,add_news_log_surprise_20,lag_1,random_forest,NVDA
global,0.515370705244123,0.5178997613365155,0.7667844522968198,0.6182336182336182,0.5093181520743358,0.4774336407999774,0.02174079789446133,0.5076691532521921,68,202,66,217,,add_news_log_surprise_20,lag_1,random_forest,TSLA
global,0.5226039783001808,0.5447941888619855,0.7475083056478405,0.6302521008403361,0.5007382798080473,0.478391356542617,0.0016912019114428047,0.4731121130622792,64,188,76,225,,add_news_sentiment_std,hybrid,hist_gradient_boosting,AAPL
global,0.5262206148282098,0.5522388059701493,0.7302631578947368,0.6288951841359773,0.5036857958148383,0.48694759206798865,0.008231826974886084,0.5113083914605792,69,180,82,222,,add_news_sentiment_std,hybrid,hist_gradient_boosting,MSFT
global,0.5334538878842676,0.5692771084337349,0.6217105263157895,0.5943396226415094,0.5237066687803847,0.5227017262143717,0.048158373903925474,0.5496855844430353,106,143,115,189,,add_news_sentiment_std,hybrid,hist_gradient_boosting,NVDA
global,0.5009041591320073,0.5091383812010444,0.6890459363957597,0.5855855855855856,0.4963748200497317,0.4791564291564292,-0.007854360256612777,0.5222353095144614,82,188,88,195,,add_news_sentiment_std,hybrid,hist_gradient_boosting,TSLA
global,0.5099457504520796,0.5350467289719626,0.760797342192691,0.6282578875171467,0.4855574012550757,0.4547124981352312,-0.03439394309322728,0.47339555977429737,53,199,72,229,,add_news_sentiment_std,hybrid,logistic_regression,AAPL
global,0.4972875226039783,0.54421768707483,0.5263157894736842,0.5351170568561873,0.4940815895159586,0.49393648118399913,-0.011801793111189824,0.5049143944197844,115,134,144,160,,add_news_sentiment_std,hybrid,logistic_regression,MSFT
global,0.5063291139240507,0.563265306122449,0.45394736842105265,0.5027322404371585,0.5121142464595223,0.5063032835938037,0.024266350463610937,0.49739748467554423,142,107,166,138,,add_news_sentiment_std,hybrid,logistic_regression,NVDA
global,0.49909584086799275,0.5077319587628866,0.696113074204947,0.587183308494784,0.4943528333987698,0.47520084964969084,-0.01233894024318744,0.4936264886794922,79,191,86,197,,add_news_sentiment_std,hybrid,logistic_regression,TSLA
global,0.5135623869801085,0.5384615384615384,0.7441860465116279,0.6248256624825662,0.491140642303433,0.46665447648549907,-0.02044131363015197,0.47219585508622053,60,192,77,224,,add_news_sentiment_std,hybrid,random_forest,AAPL
